Date Published,Publication,Headline,Link
09/27/21,The Independent Florida Alligator,We're going to lose a generation pandemic gun violence spike leaves many in anguish,https://www.alligator.org/article/2021/09/were-going-to-lose-a-generation-pandemic-gun-violence-spike-leaves-many-in-anguish
09/25/21,The Independent Florida Alligator,Gainesville man dies in Newberry shootout with Alachua County Sheriff deputies,https://www.alligator.org/article/2021/09/gainesville-man-dies-in-newberry-shootout-with-alachua-county-sheriff-deputies
09/20/21,The Independent Florida Alligator,Man dies in crash after crossing Interstate 75 on foot,https://www.alligator.org/article/2021/09/car-crash-interstate
09/17/21,The Independent Florida Alligator,Preschool teacher arrested for sexually assaulting a minor,https://www.alligator.org/article/2021/09/preschool-teacher-arrested-and-charged-of-sexually-assaulting-a-minor-wednesday
09/14/21,The Independent Florida Alligator,Buchholz High School student arrested for bomb threats,https://www.alligator.org/article/2021/09/buchholz-high-school-student-arrested-for-two-counts-of-false-bomb-threats
09/10/21,The Independent Florida Alligator,One woman raped another kidnapped blocks away from UF campus,https://www.alligator.org/article/2021/09/one-woman-raped-another-kidnapped-blocks-away-from-ufs-campus
09/05/21,The Independent Florida Alligator,One dead after game night shooting on West University Avenue,https://www.alligator.org/article/2021/09/one-dead-after-game-night-shooting-on-west-university-avenue
08/31/21,The Independent Florida Alligator,Gators football player in stable condition following scooter crash,https://www.alligator.org/article/2021/08/gators-football-player-in-stable-condition-following-scooter-crash
08/30/21,The Independent Florida Alligator,Gainesville activists point to the Tammy Jackson Act in the death of former inmate Erica Thompson’s baby,https://www.alligator.org/article/2021/08/gainesville-activists-point-to-the-tammy-jackson-act-in-the-death-of-former-inmate-erica-thompsons-baby
08/19/21,The Independent Florida Alligator,Armed Fort White man arrested after wreaking havoc in Gainesville,https://www.alligator.org/article/2021/08/armed-fort-white-man-arrested-after-wreaking-havoc-in-gainesville
08/16/21,The Independent Florida Alligator,Dear freshman Welcome to UF,https://www.alligator.org/article/2021/08/dear-freshman-welcome-to-uf
08/14/21,The Independent Florida Alligator,Son accused of father’s murder hiding evidence,https://www.alligator.org/article/2021/08/son-accused-of-fathers-murder-hiding-evidence
08/12/21,The Independent Florida Alligator,Loss of Gainesville woman’s baby born in jail sparks community protest,https://www.alligator.org/article/2021/08/alachua-jail-baby
07/26/21,The Independent Florida Alligator,UF welcomes first Ph.D. plant breeding program first in Florida,https://www.alligator.org/article/2021/07/uf-welcomes-first-ph-d-plant-breeding-program-first-in-florida
07/19/21,The Independent Florida Alligator,UF Heavener School of Business names new assistant dean and director,https://www.alligator.org/article/2021/07/uf-heavener-school-of-business-names-new-assistant-dean-and-director
07/19/21,The Independent Florida Alligator,UF Online set to welcome largest ever incoming class this Fall,https://www.alligator.org/article/2021/07/uf-online-set-to-welcome-largest-ever-incoming-class-this-fall
07/09/21,The Independent Florida Alligator,Traces of COVID-19 found in UF residence halls wastewater,https://www.alligator.org/article/2021/07/traces-of-covid-19-found-in-uf-residence-halls-wastewater
07/08/21,The Independent Florida Alligator,International students watch restrictions loosen in Gainesville as COVID-19 rages at home,https://www.alligator.org/article/2021/07/covidinternational
07/02/21,The Independent Florida Alligator,Brian Baumgartner and Oscar Nuñez share advice with UF students,https://www.alligator.org/article/2021/07/brian-baumgartner-and-oscar-nuez-share-advice-with-uf-students
06/30/21,The Independent Florida Alligator,In memory of Joshua Toledo,https://www.alligator.org/article/2021/06/in-memory-of-joshua-toledo
06/28/21,The Independent Florida Alligator,GatorWell and the CWC help UF community with mental health,https://www.alligator.org/article/2021/06/gatorwell-and-the-cwc-help-uf-community-with-mental-health
06/26/21,The Independent Florida Alligator,Iconic The Office duo will speak to students Wednesday,https://www.alligator.org/article/2021/06/iconic-the-office-duo-will-speak-to-students-wednesday
06/26/21,The Independent Florida Alligator,Gainesville salon breaks Guinness World Record for most eyebrows threaded,https://www.alligator.org/article/2021/06/gainesville-salon-breaks-guinness-world-record-for-most-eyebrows-threaded
06/01/21,The Independent Florida Alligator,West University Avenue changes prioritize pedestrian safety,https://www.alligator.org/article/2021/06/west-university-avenue-updates
05/10/21,The Independent Florida Alligator,UF graduates attend first in-person commencement ceremonies since 2019,https://www.alligator.org/article/2021/05/first-in-person-uf-gradutations-in-pandemic
05/10/21,The Independent Florida Alligator,Nicole Stedman takes on new position as Dean of UF’s Graduate School,https://www.alligator.org/article/2021/05/new-uf-grad-dean
02/24/21,The Independent Florida Alligator,UF students march to honor Black history in Gainesville,https://www.alligator.org/article/2021/02/uf-students-march-to-honor-black-history-in-gainesville
